CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Cluster,ClusterName
621010.0,27,2,2383.0,2,2,3,0,Low Value
621014.0,25,2,1472.0,2,2,2,1,Lost
621105.0,65,1,744.0,1,1,1,1,Lost
621111.0,79,1,788.0,1,1,1,1,Lost
621113.0,88,1,499.0,1,1,1,1,Lost
621118.0,84,1,399.0,1,1,1,1,Lost
621208.0,81,1,725.0,1,1,1,1,Lost
621210.0,31,2,1542.0,2,2,2,1,Lost
621211.0,10,6,4249.0,3,3,3,0,Low Value
621212.0,14,6,2942.0,3,3,3,0,Low Value
621215.0,10,4,2491.0,3,3,3,0,Low Value
621216.0,2,1,1091.0,4,1,2,0,Low Value
621218.0,41,3,1247.0,2,3,2,0,Low Value
621220.0,89,1,379.0,1,1,1,1,Lost
621305.0,10,1,1416.0,3,1,2,1,Lost
621306.0,41,2,1644.0,2,2,2,1,Lost
621316.0,14,3,3703.0,3,3,3,0,Low Value
621651.0,77,1,399.0,1,1,1,1,Lost
621703.0,45,1,523.0,2,1,1,1,Lost
621704.0,51,2,1438.0,2,2,2,1,Lost
621707.0,51,1,824.0,2,1,2,1,Lost
621712.0,52,1,435.0,1,1,1,1,Lost
621715.0,6,1,529.0,4,1,1,1,Lost
621801.0,60,1,399.0,1,1,1,1,Lost
621802.0,60,1,279.0,1,1,1,1,Lost
621804.0,40,1,568.0,2,1,1,1,Lost
622001.0,12,8,4446.0,3,3,3,0,Low Value
622002.0,11,2,1194.0,3,2,2,0,Low Value
622003.0,9,3,2336.0,3,3,3,0,Low Value
622407.0,71,2,930.0,1,2,2,1,Lost
623409.0,81,1,744.0,1,1,1,1,Lost
623501.0,13,7,7608.0,3,3,4,2,High Value
623503.0,39,4,1681.0,2,3,2,0,Low Value
623517.0,2,1,1127.0,4,1,2,0,Low Value
623518.0,8,2,925.0,3,2,2,0,Low Value
623522.0,80,1,563.0,1,1,1,1,Lost
623524.0,23,1,699.0,2,1,1,1,Lost
623525.0,2,1,549.0,4,1,1,1,Lost
623526.0,54,4,1311.0,1,3,2,0,Low Value
623534.0,17,3,1365.0,3,3,2,0,Low Value
623707.0,29,8,5230.0,2,3,3,0,Low Value
624001.0,8,10,7736.0,3,4,4,2,High Value
624002.0,67,1,517.0,1,1,1,1,Lost
624003.0,33,2,1135.0,2,2,2,1,Lost
624004.0,77,1,653.0,1,1,1,1,Lost
624005.0,7,6,3920.0,3,3,3,0,Low Value
624101.0,32,6,4531.0,2,3,3,0,Low Value
624202.0,21,4,2450.0,2,3,3,0,Low Value
624204.0,26,1,725.0,2,1,1,1,Lost
624208.0,71,1,399.0,1,1,1,1,Lost
624215.0,59,1,521.0,1,1,1,1,Lost
624301.0,47,2,845.0,2,2,2,1,Lost
624401.0,80,1,399.0,1,1,1,1,Lost
624601.0,14,12,9856.0,3,4,4,2,High Value
624614.0,77,1,599.0,1,1,1,1,Lost
624616.0,22,2,1221.0,2,2,2,1,Lost
624618.0,23,1,399.0,2,1,1,1,Lost
624619.0,13,4,3017.0,3,3,3,0,Low Value
624701.0,68,1,471.0,1,1,1,1,Lost
624703.0,62,1,597.0,1,1,1,1,Lost
624706.0,58,2,1032.0,1,2,2,1,Lost
624710.0,22,1,399.0,2,1,1,1,Lost
624802.0,59,1,788.0,1,1,1,1,Lost
625001.0,5,20,12519.0,4,4,4,2,High Value
625002.0,12,12,7571.0,3,4,4,2,High Value
625003.0,12,10,5028.0,3,4,3,2,High Value
625004.0,41,2,943.0,2,2,2,1,Lost
625005.0,15,5,2669.0,3,3,3,0,Low Value
625006.0,9,5,2648.0,3,3,3,0,Low Value
625007.0,3,29,17602.0,4,4,4,2,High Value
625008.0,4,1,2467.0,4,1,3,0,Low Value
625009.0,3,21,14101.0,4,4,4,2,High Value
625010.0,16,6,4358.0,3,3,3,0,Low Value
625012.0,4,14,9331.0,4,4,4,2,High Value
625014.0,5,21,13591.0,4,4,4,2,High Value
625015.0,49,1,1338.0,2,1,2,1,Lost
625016.0,12,20,12241.0,3,4,4,2,High Value
625017.0,7,14,7576.0,3,4,4,2,High Value
625018.0,13,10,6032.0,3,4,3,2,High Value
625019.0,23,8,4138.0,2,3,3,0,Low Value
625020.0,3,36,21698.0,4,4,4,2,High Value
625021.0,22,1,735.0,2,1,1,1,Lost
625022.0,44,5,3814.0,2,3,3,0,Low Value
625106.0,4,6,4377.0,4,3,3,2,High Value
625107.0,4,7,6081.0,4,3,4,2,High Value
625110.0,17,1,1075.0,3,1,2,1,Lost
625201.0,73,1,518.0,1,1,1,1,Lost
625203.0,63,1,399.0,1,1,1,1,Lost
625205.0,9,1,771.0,3,1,1,1,Lost
625207.0,1,1,376.0,4,1,1,1,Lost
625214.0,66,2,1223.0,1,2,2,1,Lost
625218.0,12,2,856.0,3,2,2,0,Low Value
625402.0,58,3,1404.0,1,3,2,0,Low Value
625501.0,43,1,736.0,2,1,1,1,Lost
625512.0,62,5,3990.0,1,3,3,0,Low Value
625513.0,22,9,4706.0,2,4,3,0,Low Value
625514.0,37,3,2115.0,2,3,3,0,Low Value
625515.0,27,2,1005.0,2,2,2,1,Lost
625516.0,14,5,4830.0,3,3,3,0,Low Value
625517.0,85,1,435.0,1,1,1,1,Lost
625518.0,58,1,743.0,1,1,1,1,Lost
625520.0,74,1,432.0,1,1,1,1,Lost
625524.0,25,2,1060.0,2,2,2,1,Lost
625527.0,76,1,824.0,1,1,2,1,Lost
625531.0,3,17,12486.0,4,4,4,2,High Value
625532.0,5,6,4405.0,4,3,3,2,High Value
625533.0,26,3,1536.0,2,3,2,0,Low Value
625579.0,26,4,2387.0,2,3,3,0,Low Value
625601.0,58,5,3520.0,1,3,3,0,Low Value
625603.0,9,1,1125.0,3,1,2,1,Lost
625605.0,67,1,353.0,1,1,1,1,Lost
625702.0,26,4,2087.0,2,3,3,0,Low Value
625703.0,22,2,1810.0,2,2,2,1,Lost
625706.0,1,6,4747.0,4,3,3,2,High Value
626001.0,3,17,12176.0,4,4,4,2,High Value
626003.0,5,3,1769.0,4,3,2,0,Low Value
626101.0,20,8,4342.0,3,3,3,0,Low Value
626102.0,50,2,1191.0,2,2,2,1,Lost
626106.0,19,2,1563.0,3,2,2,0,Low Value
626111.0,6,1,376.0,4,1,1,1,Lost
626113.0,32,1,635.0,2,1,1,1,Lost
626117.0,11,12,7991.0,3,4,4,2,High Value
626121.0,69,2,1330.0,1,2,2,1,Lost
626122.0,15,2,643.0,3,2,1,1,Lost
626123.0,6,8,3378.0,4,3,3,2,High Value
626124.0,8,2,787.0,3,2,1,1,Lost
626125.0,23,10,7105.0,2,4,4,2,High Value
626126.0,60,3,1250.0,1,3,2,0,Low Value
626129.0,26,2,936.0,2,2,2,1,Lost
626130.0,46,4,2012.0,2,3,3,0,Low Value
626138.0,50,1,376.0,2,1,1,1,Lost
626142.0,23,1,349.0,2,1,1,1,Lost
626149.0,76,1,588.0,1,1,1,1,Lost
626189.0,49,1,885.0,2,1,2,1,Lost
626203.0,2,6,4659.0,4,3,3,2,High Value
627001.0,29,2,923.0,2,2,2,1,Lost
627002.0,2,19,12187.0,4,4,4,2,High Value
627003.0,62,2,1632.0,1,2,2,1,Lost
627004.0,38,4,1991.0,2,3,3,0,Low Value
627005.0,5,5,3265.0,4,3,3,2,High Value
627006.0,3,4,1993.0,4,3,3,2,High Value
